EventName	NodeID	ThreadID	StartTime	Duration
GEMM30 0 1 12984631 14647631
GEMM24 0 1 35031735 14478593
GEMM90 0 1 56964100 14665578
GEMM54 0 1 71670520 14569221
GEMM18 0 1 86269955 17815722
GEMM48 0 1 111490370 14460998
GEMM180 0 1 140739996 14501167
GEMM144 0 1 155263234 14445621
GEMM108 0 1 169726699 14471284
GEMM72 0 1 184217349 15089995
GEMM36 0 1 199340352 19401755
GEMM0 0 1 218769904 17733075
GEMM145 0 1 243871322 14450521
GEMM73 0 1 290217306 14503496
GEMM55 0 1 312163934 14518409
GEMM50 0 1 326707915 14472534
GEMM19 0 1 341201382 14456694
GEMM14 0 1 355675136 14490119
GEMM13 0 1 384949888 14474832
GEMM8 0 1 399441703 14501592
GEMM115 0 1 413965636 14514279
GEMM110 0 1 428496538 14528009
GEMM43 0 1 443040147 14483838
GEMM38 0 1 457539090 14435788
GEMM15 0 1 512006699 14689352
GEMM9 0 1 534094245 14453021
GEMM75 0 1 555936166 14507245
GEMM3 0 1 570470817 14461509
GEMM40 0 1 592988428 16873968
SYRK35 0 1 27656642 7353433
SYRK21 0 1 104120207 7346414
SYRK14 0 1 125972036 7389596
SYRK1 0 1 258336066 7320250
SYRK30 0 1 275463863 7337909
SYRK22 0 1 370183801 7399420
SYRK16 0 1 377604461 7329431
SYRK29 0 1 472034374 7348460
SYRK23 0 1 479400192 7331318
SYRK15 0 1 486749626 7337241
SYRK9 0 1 494103946 7410394
SYRK17 0 1 526723348 7349650
SYRK4 0 1 609892540 7324864
SYRK12 0 1 627158797 7329283
SYRK11 0 1 634505745 7322714
SYRK5 0 1 641845443 7371564
TRSM35 0 1 3633097 9311118
TRSM21 0 1 49526984 7391095
TRSM0 0 1 133379207 7323975
TRSM1 0 1 236521870 7319544
TRSM30 0 1 268106588 7330086
TRSM22 0 1 282820439 7357893
TRSM16 0 1 304749607 7380632
TRSM17 0 1 504631577 7345165
TRSM3 0 1 548562543 7348315
TRSM4 0 1 584947079 8007752
TRSM12 0 1 619726218 7411562
POTRF2 0 1 265669891 2412346
POTRF5 0 1 617232285 2477237
POTRF6 0 1 649233199 2413625
GEMM60 0 0 27900194 15729960
GEMM120 0 0 58735992 38974748
GEMM84 0 0 97745224 16104585
GEMM12 0 0 113876127 14719060
GEMM150 0 0 136132784 14663546
GEMM114 0 0 150830901 14692435
GEMM78 0 0 165549992 14621579
GEMM42 0 0 180197585 14683334
GEMM6 0 0 194906893 18063009
GEMM109 0 0 257784848 14672322
GEMM25 0 0 279977820 14693200
GEMM20 0 0 294694543 14719638
GEMM37 0 0 317054888 14713944
GEMM85 0 0 339374598 14611696
GEMM80 0 0 354027812 14678331
GEMM49 0 0 368742470 14625296
GEMM44 0 0 383391190 14700168
GEMM1 0 0 405677727 14614879
GEMM79 0 0 427795285 14805030
GEMM74 0 0 442634307 14652209
GEMM7 0 0 457325337 14640811
GEMM2 0 0 472042321 14877849
GEMM45 0 0 526813119 14702732
GEMM39 0 0 557115604 14709618
GEMM4 0 0 605974653 15650133
GEMM10 0 0 629208723 14811454
GEMM5 0 0 644041539 14889045
SYRK42 0 0 12684489 7421084
SYRK28 0 0 43666022 7393846
SYRK7 0 0 213006396 10566338
SYRK0 0 0 223595321 9261329
SYRK36 0 0 242839621 7428585
SYRK8 0 0 486938996 7408636
SYRK2 0 0 494364189 7418086
SYRK24 0 0 511742976 7479825
SYRK10 0 0 541539219 7371651
SYRK3 0 0 571845361 7426188
SYRK18 0 0 589198391 8768491
SYRK6 0 0 666503926 7456789
TRSM42 0 0 3116112 9524162
TRSM28 0 0 20124782 7738523
TRSM14 0 0 51076000 7621800
TRSM7 0 0 128617757 7415317
TRSM36 0 0 235354547 7450452
TRSM29 0 0 250286906 7459276
TRSM23 0 0 272474412 7462952
TRSM15 0 0 309442318 7572895
TRSM9 0 0 331793402 7539879
TRSM8 0 0 398126954 7510181
TRSM2 0 0 420319439 7435634
TRSM24 0 0 504282752 7430616
TRSM10 0 0 519246243 7529673
TRSM18 0 0 581760702 7414986
TRSM11 0 0 597991207 7946515
TRSM5 0 0 621642337 7544935
TRSM6 0 0 658957610 7525621
POTRF0 0 0 0 3072807
POTRF1 0 0 232874854 2439632
POTRF3 0 0 501798120 2458634
POTRF4 0 0 579288777 2450254
POTRF7 0 0 673980360 2464757
