head	tail	transtime
GEMM79 --> GEMM74 33992
GEMM110 --> TRSM24 61258205
GEMM74 --> TRSM17 47345061
GEMM43 --> GEMM38 15105
GEMM38 --> TRSM10 47271365
GEMM7 --> GEMM2 76173
SYRK29 --> SYRK23 17358
SYRK23 --> SYRK17 39991838
GEMM2 --> TRSM3 61642373
SYRK15 --> SYRK9 17079
SYRK8 --> SYRK2 16557
SYRK9 --> SYRK3 70331021
SYRK2 --> POTRF3 15845
POTRF3 --> TRSM3 44305789
POTRF3 --> TRSM10 14989489
POTRF3 --> TRSM17 374823
POTRF3 --> TRSM24 25998
TRSM24 --> SYRK24 29608
TRSM24 --> GEMM75 44222798
TRSM24 --> GEMM45 15099751
TRSM24 --> GEMM15 293331
TRSM17 --> SYRK17 14746606
TRSM17 --> GEMM15 29957
TRSM17 --> GEMM39 45138862
TRSM17 --> GEMM9 22117503
SYRK24 --> SYRK18 69975590
GEMM15 --> GEMM10 102512672
TRSM10 --> SYRK10 14763303
TRSM10 --> GEMM9 7318329
TRSM10 --> GEMM45 37203
TRSM10 --> GEMM3 43694901
SYRK17 --> SYRK11 100432747
GEMM45 --> GEMM40 51472577
GEMM9 --> GEMM4 57427387
SYRK10 --> SYRK4 60981670
TRSM3 --> SYRK3 15934503
TRSM3 --> GEMM3 14559959
TRSM3 --> GEMM39 1204746
TRSM3 --> GEMM75 25308
GEMM75 --> TRSM18 11317291
GEMM39 --> TRSM11 26165985
SYRK3 --> POTRF4 17228
POTRF4 --> TRSM4 3208048
POTRF4 --> TRSM11 16252176
POTRF4 --> TRSM18 21671
GEMM3 --> TRSM4 14753
TRSM18 --> SYRK18 22703
TRSM18 --> GEMM40 3812740
TRSM18 --> GEMM10 40033035
TRSM4 --> SYRK4 16937709
TRSM4 --> GEMM4 13019822
TRSM4 --> GEMM40 33597
SYRK18 --> SYRK12 29191915
TRSM11 --> SYRK11 28568023
TRSM11 --> GEMM10 23271001
TRSM11 --> GEMM4 36931
GEMM40 --> TRSM12 9863822
SYRK4 --> POTRF5 14881
POTRF5 --> TRSM5 1932815
POTRF5 --> TRSM12 16696
GEMM4 --> TRSM5 17551
TRSM12 --> SYRK12 21017
TRSM12 --> GEMM5 16903759
TRSM5 --> SYRK5 12658171
TRSM5 --> GEMM5 14854267
SYRK12 --> SYRK6 32015846
SYRK11 --> SYRK5 16984
GEMM10 --> GEMM5 21362
SYRK5 --> POTRF6 16192
POTRF6 --> TRSM6 7310786
GEMM5 --> TRSM6 27026
TRSM6 --> SYRK6 20695
SYRK6 --> POTRF7 19645
